Product Description,Frame,SHGC,U-VALUE
X2 Ruby Red  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.53,3.4
X2 Sahara Sun Yellow  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.53,3.4
X2 Sapphire Blue  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.48,3.4
X2 Shadowlight 50  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.45,3.4
X2 Shadowlight 25  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.31,3.4
X2 Shadowlight 10  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.19,3.4
X2 True Blue  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.36,3.4
X2 Serene Green  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.42,3.4
X2 Deep Serene Green  ColourVue & Intruderprufe Low E,Aluminium/Steel,0.33,3.4
X2 CoolVue Clear  & Intruderprufe low E,Aluminium/Steel,0.34,3.4
X2 CoolVue Grey  & Intruderprufe low E,Aluminium/Steel,0.21,3.4
X2 CoolVue Regal Blue  & Intruderprufe low E,Aluminium/Steel,0.26,3.4
X2 CoolVue Serene Green & Intruderprufe low E,Aluminium/Steel,0.27,3.4
X2 Aquamarine HL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.3,3.4
X2 Aquamarine XHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.35,3.4
X2 Blue HL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.31,3.4
X2 Blue XHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.36,3.4
X2 Bronze HL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.26,3.4
X2 Bronze XHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.3,3.4
X2 Grey HL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.24,3.4
X2 Grey XHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.28,3.4
X2 Neutral HL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.34,3.4
X2 Neutral XHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.39,3.4
X2 Neutral SHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.44,3.4
X2 Neutral MHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.48,3.4
X2 Regal Blue HL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.29,3.4
X2 Regal Blue XHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.34,3.4
X2 Serene Green HL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.26,3.4
X2 Serene Green XHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.32,3.4
X2 Serene Green SHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.34,3.4
X2 Serene Green MHL SolarVue & Intruderprufe Low E,Aluminium/Steel,0.38,3.4
X2 Aquamarine S10 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.12,3.4
X2 Aquamarine S20 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.19,3.4
X2 Aquamarine S30 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.25,3.4
X2 Blue S10 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.12,3.4
X2 Blue S20 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.19,3.4
X2 Blue S30 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.25,3.4
X2 Bronze S10 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.12,3.4
X2 Bronze S20 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.17,3.4
X2 Bronze S30 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.22,3.4
X2 Grey S10 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.12,3.4
X2 Grey S20 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.16,3.4
X2 Grey S30 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.21,3.4
X2 Regal Blue S10 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.12,3.4
X2 Regal Blue S20 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.18,3.4
X2 Regal Blue S30 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.24,3.4
X2 Silver S10 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.12,3.4
X2 Silver S20 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.2,3.4
X2 Silver S30 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.27,3.4
X2 Serene Green S10 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.12,3.4
X2Serene Green S20 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.18,3.4
X2 Serene Green S30 Solarshield & Intruderprufe Low E,Aluminium/Steel,0.23,3.4
X2 Ener-G Smart Neutral & Clear Float,Aluminium/Steel,0.32,3.4
X2 Ener-G Smart Aquamarine & Clear Float,Aluminium/Steel,0.28,3.4
X2 Ener-G Smart Blue & Clear Float,Aluminium/Steel,0.29,3.4
X2 Ener-G Smart Bronze & Clear Float,Aluminium/Steel,0.24,3.4
X2 Ener-G Smart Grey & Clear Float,Aluminium/Steel,0.25,3.4
X2 Ener-G Smart Regal Blue & Clear Float,Aluminium/Steel,0.27,3.4
X2 Ener-G Smart Serene Green & Clear Float,Aluminium/Steel,0.22,3.4
4 mm ClearVue,Timber/PVCu/Aluminium thermal break,0.81,5.6
5 mm ClearVue,Timber/PVCu/Aluminium thermal break,0.81,5.6
6 mm ClearVue,Timber/PVCu/Aluminium thermal break,0.81,5.6
8 mm ClearVue,Timber/PVCu/Aluminium thermal break,0.78,5.6
10 mm ClearVue,Timber/PVCu/Aluminium thermal break,0.76,5.6
12 mm ClearVue,Timber/PVCu/Aluminium thermal break,0.72,5.6
15 mm ClearVue,Timber/PVCu/Aluminium thermal break,0.69,5.6
19 mm ClearVue ,Timber/PVCu/Aluminium thermal break,0.65,5.6
"6,38mm Intruderprufe Clear NS",Timber/PVCu/Aluminium thermal break,0.78,5.6
COLOURVUE Aquamarine  ,Timber/PVCu/Aluminium thermal break,0.69,5.6
